pair_id,sent_1,sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,option_1,option_2,option_1_word_id_1,option_2_word_id_1,option_1_word_id_2,option_2_word_id_2,context_1,context_2,context_word_id,verb_1,verb_2,verb_word_id_1,verb_word_id_2,pron_1_replacement,pron_2_replacement,pron_1_new,pron_2_new
0-3Z33IC0JC20J0PR16LU4O9N59PP9VA,James slid down from the top of the roof to the fence because the _ is taller.,James slid down from the top of the roof to the fence because the _ is shorter.,_,_,14,14,roof,fence,8,11,8,11,taller,shorter,16,is,is,15,15,it,it,the _,the _
0-3HUR21WDDW3Q5F44ECN2BBDGX39XY2,Angela prefers to wear skirts while Amy prefers long pants. _ wears pantyhose.,Angela prefers to wear skirts while Amy prefers long pants. _ wears dress socks and sandals.,_,_,10,10,Angela,Amy,0,6,0,6,pantyhose,dress socks and sandals,12,wears,wears,11,11,She,She,_,_
0-3XU9MCX6VQQG7YPLCSAFDPQNHJ9R2N,"Mary has bad dandruff, but Cynthia has never had that issue. _ lives in a dryer climate.","Mary has bad dandruff, but Cynthia has never had that issue. _ lives in a wetter climate.",_,_,11,11,Mary,Cynthia,0,5,0,5,dryer,wetter,15,lives,lives,12,12,She,She,_,_
0-3LCXHSGDLVKK3T1EK15L50492I3ESD,The pan placed over the flame does not get hot fast enough because the _ is high.,The pan placed over the flame does not get hot fast enough because the _ is low.,_,_,14,14,pan,flame,1,5,1,5,high,low,16,is,is,15,15,it,it,the _,the _
0-368IUKXGA7MJDMS7M2ITY77LY086P4,It appears more jars can easily fit into the bags if attempted. He never knew the _ are that small.,It appears more jars can easily fit into the bags if attempted. He never knew the _ are that big.,_,_,16,16,jars,bags,3,9,3,9,small,big,19,are,are,17,17,they,they,the _,the _
0-3BKZLF9901D6WI3SSYSAH3HN0SJYQN,James could not hear the sound of his television over his neighbor because his _ was too quiet.,James could not hear the sound of his television over his neighbor because his _ was too noisy.,_,_,14,14,television,neighbor,8,11,8,11,quiet,noisy,17,was,was,15,15,it,he,his _,his _
0-31KPKEKW4CRMVH5I18KBUMS54RV0BW,John wanted to exchange the tea with the popsicle because it was a hot day already and the _ was hot.,John wanted to exchange the tea with the popsicle because it was a hot day already and the _ was cold.,_,_,18,18,tea,popsicle,5,8,5,8,hot,cold,20,was,was,19,19,it,it,the _,the _
0-3RHLQY6EDT2HFDMWE7MJ9HI9TDGD4N,"Katrina orders water at the bar, while Emily has a nice, cold beer, so _ is sober.","Katrina orders water at the bar, while Emily has a nice, cold beer, so _ is drunk.",_,_,14,14,Katrina,Emily,0,7,0,7,sober,drunk,16,is,is,15,15,she,she,_,_
0-33EEIIWHK9LPSO8NNN5QA4DTIBHVQB,The pressure of the water increased when it flowed from the tank to the pipe because the _ is wider.,The pressure of the water increased when it flowed from the tank to the pipe because the _ is narrower.,_,_,17,17,tank,pipe,11,14,11,14,wider,narrower,19,is,is,18,18,it,it,the _,the _
0-3PEG1BH7AG5O87CM51UTD67DGXSKBP,It is better to play a prank on Samuel than Craig because _ gets angry less often.,It is better to play a prank on Samuel than Craig because _ gets angry more often.,_,_,12,12,Samuel,Craig,8,10,8,10,less,more,15,gets,gets,13,13,he,he,_,_
0-32L724R85LIKCHO145FI3C9HHW7PIK,Tim decided to shave his beard instead of his head since his wife thought that his _ was uglier.,Tim decided to shave his beard instead of his head since his wife thought that his _ was tolerable.,_,_,16,16,beard,head,5,9,5,9,uglier,tolerable,18,was,was,17,17,it,it,his _,his _
0-35XW21VSVISY9ZB61NSPIVUTBGOLST,John almost emptied his gas tank while driving around the border of the new town. The _ is small.,John almost emptied his gas tank while driving around the border of the new town. The _ is long.,_,_,16,16,tank,border,5,10,5,10,small,long,18,is,is,17,17,It,It,The _,The _
0-375VSR8FVW7RJKTQH17T82CMERXRZB,The helmet will not fit on the teenager's head because the _ is extremely tapered.,The helmet will not fit on the teenager's head because the _ is extremely broad.,_,_,11,11,helmet,head,1,8,1,8,tapered,broad,14,is,is,12,12,it,it,the _,the _
0-33CLA8O0MI9LE32QGPDM5AW42L1RFJ,"Robert threw the dish on the floor and Jeffrey cleaned it up, because _ is the master.","Robert threw the dish on the floor and Jeffrey cleaned it up, because _ is the servant.",_,_,13,13,Robert,Jeffrey,0,8,0,8,master,servant,16,is,is,14,14,he,he,_,_
0-33CLA8O0MKP08S1X0NPMX8KDRJWRFK,James dropped the crayon on the table and it got broken. The _ is brittle.,James dropped the crayon on the table and it got broken. The _ is hard.,_,_,12,12,crayon,table,3,6,3,6,brittle,hard,14,is,is,13,13,It,It,The _,The _
0-3HJ1EVZS2QX5SGL4GSOKWZVGOV7R3V,James managed to put the file into the crack because the _ was flat enough.,James managed to put the file into the crack because the _ was wide enough.,_,_,11,11,file,crack,5,8,5,8,flat,wide,13,was,was,12,12,it,it,the _,the _
0-359AP8GAGGI4T8Y1G9PFSNK14URC72,Ellen opted to eat the tortillas rather than the nachos because she is on a low-carb diet. The _ have less carbs.,Ellen opted to eat the tortillas rather than the nachos because she is on a low-carb diet. The _ have more carbs.,_,_,18,18,tortillas,nachos,5,9,5,9,less,more,20,have,have,19,19,They,They,The _,The _
0-37SDSEDIN90O6JTMAHS1PRX56ZT81D,Rachel drinks a lot of milk but Kayla does not and as a result _ has very strong bones.,Rachel drinks a lot of milk but Kayla does not and as a result _ has very weak bones.,_,_,14,14,Rachel,Kayla,0,7,0,7,strong,weak,17,has,has,15,15,she,she,_,_
0-3UL5XDRDNEX2OQTCV26DKFYUBHU857,Jane's finger could not fit into the ring her boyfriend bought for her because the _ is wide.,Jane's finger could not fit into the ring her boyfriend bought for her because the _ is small.,_,_,15,15,finger,ring,1,7,1,7,wide,small,17,is,is,16,16,it,it,the _,the _
0-3PUV2Q8SV4210C75TMW6HVOF37MBDK,"Rachel enjoys sleeping on the ground, while Tanya really can't stand it, because _ happens to prefer hard surfaces.","Rachel enjoys sleeping on the ground, while Tanya really can't stand it, because _ happens to prefer soft surfaces.",_,_,13,13,Rachel,Tanya,0,7,0,7,hard,soft,17,happens,happens,14,14,she,she,_,_
0-3Y3CZJSZ9KRTC691AD0DJY5R8815RL,"Ian likes dark chocolate more than Brett, who prefers milk chocolate, so _ is likely to be more mature.","Ian likes dark chocolate more than Brett, who prefers milk chocolate, so _ is likely to be childlike.",_,_,12,12,Ian,Brett,0,6,0,6,more mature,childlike,17,is,is,13,13,he,he,_,_
0-3D4BBDG7ZJA1MEWLYVYP74WTNCO3CI,The basketball did no go through the net when it was dunked because the _ is big.,The basketball did no go through the net when it was dunked because the _ is narrow.,_,_,14,14,basketball,net,1,7,1,7,big,narrow,16,is,is,15,15,it,it,the _,the _
0-3IVEC1GSLPXDQ0P51LPSEH6JRUC1JO,Megan is a criminal defense lawyer and Maria is a family lawyer. _ is less knowledgeable about custody laws.,Megan is a criminal defense lawyer and Maria is a family lawyer. _ is more knowledgeable about custody laws.,_,_,12,12,Megan,Maria,0,7,0,7,less,more,14,is,is,13,13,She,She,_,_
0-3TD33TP5DNGIWU30TAH4JS4ICFQBAK,James could not get his new bracelet onto his wrist because the _ is too small.,James could not get his new bracelet onto his wrist because the _ is too big.,_,_,12,12,bracelet,wrist,6,9,6,9,small,big,15,is,is,13,13,it,it,the _,the _
