pair_id,sent_1,sent_2,split_sent_1,split_sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,choice_correct_1,choice_incorrect_1,choice_word_id_correct_1,choice_word_id_incorrect_1,choice_correct_2,choice_incorrect_2,choice_word_id_correct_2,choice_word_id_incorrect_2,context_1,context_word_id_1,context_2,context_word_id_2
0,"Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.","Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.","['Mark', 'told', 'Pete', 'many', 'lies', 'about', 'himself,', 'which', 'Pete', 'included', 'in', 'his', 'book.', 'He', 'should', 'have', 'been', 'more', 'skeptical.']","['Mark', 'told', 'Pete', 'many', 'lies', 'about', 'himself,', 'which', 'Pete', 'included', 'in', 'his', 'book.', 'He', 'should', 'have', 'been', 'more', 'truthful.']",He,He,13,13,Pete,Mark,2,0,Mark,Pete,0,2,skeptical,18,truthful,18
2,I poured water from the bottle into the cup until it was full.,I poured water from the bottle into the cup until it was empty.,"['I', 'poured', 'water', 'from', 'the', 'bottle', 'into', 'the', 'cup', 'until', 'it', 'was', 'full.']","['I', 'poured', 'water', 'from', 'the', 'bottle', 'into', 'the', 'cup', 'until', 'it', 'was', 'empty.']",it,it,10,10,the cup,the bottle,7,4,the bottle,the cup,4,7,full,12,empty,12
3,Dan had to stop Bill from toying with the injured bird. He is very compassionate.,Dan had to stop Bill from toying with the injured bird. He is very cruel.,"['Dan', 'had', 'to', 'stop', 'Bill', 'from', 'toying', 'with', 'the', 'injured', 'bird.', 'He', 'is', 'very', 'compassionate.']","['Dan', 'had', 'to', 'stop', 'Bill', 'from', 'toying', 'with', 'the', 'injured', 'bird.', 'He', 'is', 'very', 'cruel.']",He,He,11,11,Dan,Bill,0,4,Bill,Dan,4,0,compassionate,14,cruel,14
4,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.,"['Sam', ""Goodman's"", 'biography', 'of', 'the', 'Spartan', 'general', 'Xenophanes', 'conveys', 'a', 'vivid', 'sense', 'of', 'the', 'difficulties', 'he', 'faced', 'in', 'his', 'childhood.']","['Sam', ""Goodman's"", 'biography', 'of', 'the', 'Spartan', 'general', 'Xenophanes', 'conveys', 'a', 'vivid', 'sense', 'of', 'the', 'difficulties', 'he', 'faced', 'in', 'his', 'research.']",he,he,15,15,Xenophanes,Goodman,7,1,Goodman,Xenophanes,1,7,childhood,19,research,19
5,Billy cried because Toby wouldn't share his toy.,Billy cried because Toby wouldn't accept his toy.,"['Billy', 'cried', 'because', 'Toby', ""wouldn't"", 'share', 'his', 'toy.']","['Billy', 'cried', 'because', 'Toby', ""wouldn't"", 'accept', 'his', 'toy.']",his,his,6,6,Toby,Billy,3,0,Billy,Toby,0,3,share,5,accept,5
6,Emma did not pass the ball to Janie although she was open.,Emma did not pass the ball to Janie although she saw that she was open.,"['Emma', 'did', 'not', 'pass', 'the', 'ball', 'to', 'Janie', 'although', 'she', 'was', 'open.']","['Emma', 'did', 'not', 'pass', 'the', 'ball', 'to', 'Janie', 'although', 'she', 'saw', 'that', 'she', 'was', 'open.']",she,she,9,9,Janie,Emma,7,0,Emma,Janie,0,7,was open,10,saw that she was open,10
7,"Sam took French classes from Adam, because he was eager to speak it fluently.","Sam took French classes from Adam, because he was known to speak it fluently.","['Sam', 'took', 'French', 'classes', 'from', 'Adam,', 'because', 'he', 'was', 'eager', 'to', 'speak', 'it', 'fluently.']","['Sam', 'took', 'French', 'classes', 'from', 'Adam,', 'because', 'he', 'was', 'known', 'to', 'speak', 'it', 'fluently.']",he,he,7,7,Sam,Adam,0,5,Adam,Sam,5,0,eager,9,known,9
8,The city councilmen refused the demonstrators a permit because they advocated violence.,The city councilmen refused the demonstrators a permit because they feared violence.,"['The', 'city', 'councilmen', 'refused', 'the', 'demonstrators', 'a', 'permit', 'because', 'they', 'advocated', 'violence.']","['The', 'city', 'councilmen', 'refused', 'the', 'demonstrators', 'a', 'permit', 'because', 'they', 'feared', 'violence.']",they,they,9,9,The demonstrators,The city councilmen,4,0,The city councilmen,The demonstrators,0,4,advocated,10,feared,10
9,"When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.","When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.","['When', 'Tommy', 'dropped', 'his', 'ice', 'cream,', 'Timmy', 'giggled,', 'so', 'father', 'gave', 'him', 'a', 'sympathetic', 'look.']","['When', 'Tommy', 'dropped', 'his', 'ice', 'cream,', 'Timmy', 'giggled,', 'so', 'father', 'gave', 'him', 'a', 'stern', 'look.']",him,him,11,11,Tommy,Timmy,1,6,Timmy,Tommy,6,1,sympathetic,13,stern,13
10,"The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.","The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.","['The', 'journalists', 'interviewed', 'the', 'stars', 'of', 'the', 'new', 'movie.', 'They', 'were', 'very', 'cooperative,', 'so', 'the', 'interview', 'lasted', 'for', 'a', 'long', 'time.']","['The', 'journalists', 'interviewed', 'the', 'stars', 'of', 'the', 'new', 'movie.', 'They', 'were', 'very', 'persistent,', 'so', 'the', 'interview', 'lasted', 'for', 'a', 'long', 'time.']",They,They,9,9,The stars,The journalists,3,0,The journalists,The stars,0,3,cooperative,12,persistent,12
11,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.","In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.","['In', 'the', 'storm,', 'the', 'tree', 'fell', 'down', 'and', 'crashed', 'through', 'the', 'roof', 'of', 'my', 'house.', 'Now,', 'I', 'have', 'to', 'get', 'it', 'repaired.']","['In', 'the', 'storm,', 'the', 'tree', 'fell', 'down', 'and', 'crashed', 'through', 'the', 'roof', 'of', 'my', 'house.', 'Now,', 'I', 'have', 'to', 'get', 'it', 'removed.']",it,it,20,20,The roof,The tree,10,3,The tree,The roof,3,10,repaired,21,removed,21
12,"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.","Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.","['Beth', ""didn't"", 'get', 'angry', 'with', 'Sally,', 'who', 'had', 'cut', 'her', 'off,', 'because', 'she', 'stopped', 'and', 'counted', 'to', 'ten.']","['Beth', ""didn't"", 'get', 'angry', 'with', 'Sally,', 'who', 'had', 'cut', 'her', 'off,', 'because', 'she', 'stopped', 'and', 'apologized.']",she,she,12,12,Beth,Sally,0,5,Sally,Beth,5,0,counted to ten,15,apologized,15
13,"If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.","If the con artist has succeeded in fooling Sam, he would have lost a lot of money.","['If', 'the', 'con', 'artist', 'has', 'succeeded', 'in', 'fooling', 'Sam,', 'he', 'would', 'have', 'gotten', 'a', 'lot', 'of', 'money.']","['If', 'the', 'con', 'artist', 'has', 'succeeded', 'in', 'fooling', 'Sam,', 'he', 'would', 'have', 'lost', 'a', 'lot', 'of', 'money.']",he,he,9,9,The con artist,Sam,1,8,Sam,The con artist,8,1,gotten,12,lost,12
14,The fish ate the worm. It was tasty.,The fish ate the worm. It was hungry.,"['The', 'fish', 'ate', 'the', 'worm.', 'It', 'was', 'tasty.']","['The', 'fish', 'ate', 'the', 'worm.', 'It', 'was', 'hungry.']",It,It,5,5,The worm,The fish,3,0,The fish,The worm,0,3,tasty,7,hungry,7
15,"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was easier to pronounce.","The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.","['The', 'actress', 'used', 'to', 'be', 'named', 'Terpsichore,', 'but', 'she', 'changed', 'it', 'to', 'Tina', 'a', 'few', 'years', 'ago,', 'because', 'she', 'figured', 'it', 'was', 'easier', 'to', 'pronounce.']","['The', 'actress', 'used', 'to', 'be', 'named', 'Terpsichore,', 'but', 'she', 'changed', 'it', 'to', 'Tina', 'a', 'few', 'years', 'ago,', 'because', 'she', 'figured', 'it', 'was', 'too', 'hard', 'to', 'pronounce.']",it,it,20,20,Tina,Terpsichore,12,6,Terpsichore,Tina,6,12,easier,22,too hard,22
16,Joe paid the detective after he delivered the final report on the case.,Joe paid the detective after he received the final report on the case.,"['Joe', 'paid', 'the', 'detective', 'after', 'he', 'delivered', 'the', 'final', 'report', 'on', 'the', 'case.']","['Joe', 'paid', 'the', 'detective', 'after', 'he', 'received', 'the', 'final', 'report', 'on', 'the', 'case.']",he,he,5,5,the detective,Joe,2,0,Joe,the detective,0,2,delivered,6,received,6
17,"As Andrea in the crop duster passed over Susan, she could see the landing strip.","As Andrea in the crop duster passed over Susan, she could see the landing gear.","['As', 'Andrea', 'in', 'the', 'crop', 'duster', 'passed', 'over', 'Susan,', 'she', 'could', 'see', 'the', 'landing', 'strip.']","['As', 'Andrea', 'in', 'the', 'crop', 'duster', 'passed', 'over', 'Susan,', 'she', 'could', 'see', 'the', 'landing', 'gear.']",she,she,9,9,Andrea,Susan,1,8,Susan,Andrea,8,1,strip,14,gear,14
18,"Lily spoke to Donna, breaking her silence.","Lily spoke to Donna, breaking her concentration.","['Lily', 'spoke', 'to', 'Donna,', 'breaking', 'her', 'silence.']","['Lily', 'spoke', 'to', 'Donna,', 'breaking', 'her', 'concentration.']",her,her,5,5,Lily,Donna,0,3,Donna,Lily,3,0,silence,6,concentration,6
19,"The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.","The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.","['The', 'cat', 'was', 'lying', 'by', 'the', 'mouse', 'hole', 'waiting', 'for', 'the', 'mouse,', 'but', 'it', 'was', 'too', 'cautious.']","['The', 'cat', 'was', 'lying', 'by', 'the', 'mouse', 'hole', 'waiting', 'for', 'the', 'mouse,', 'but', 'it', 'was', 'too', 'impatient.']",it,it,13,13,The mouse,The cat,5,0,The cat,The mouse,0,5,cautious,16,impatient,16
20,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,"['Bob', 'collapsed', 'on', 'the', 'sidewalk.', 'Soon', 'he', 'saw', 'Carl', 'coming', 'to', 'help.', 'He', 'was', 'very', 'concerned.']","['Bob', 'collapsed', 'on', 'the', 'sidewalk.', 'Soon', 'he', 'saw', 'Carl', 'coming', 'to', 'help.', 'He', 'was', 'very', 'ill.']",He,He,12,12,Carl,Bob,8,0,Bob,Carl,0,8,concerned,15,ill,15
21,Susan knows all about Ann's personal problems because she is nosy.,Susan knows all about Ann's personal problems because she is indiscreet.,"['Susan', 'knows', 'all', 'about', ""Ann's"", 'personal', 'problems', 'because', 'she', 'is', 'nosy.']","['Susan', 'knows', 'all', 'about', ""Ann's"", 'personal', 'problems', 'because', 'she', 'is', 'indiscreet.']",she,she,8,8,Susan,Ann,0,4,Ann,Susan,4,0,nosy,10,indiscreet,10
22,"Jane knocked on the door, and Susan answered it. She invited her to come out.","Jane knocked on the door, and Susan answered it. She invited her to come in.","['Jane', 'knocked', 'on', 'the', 'door,', 'and', 'Susan', 'answered', 'it.', 'She', 'invited', 'her', 'to', 'come', 'out.']","['Jane', 'knocked', 'on', 'the', 'door,', 'and', 'Susan', 'answered', 'it.', 'She', 'invited', 'her', 'to', 'come', 'in.']",She,She,9,9,Jane,Susan,0,6,Susan,Jane,6,0,out,14,in,14
23,"As Ollie carried Tommy up the long winding steps, his legs ached.","As Ollie carried Tommy up the long winding steps, his legs dangled.","['As', 'Ollie', 'carried', 'Tommy', 'up', 'the', 'long', 'winding', 'steps,', 'his', 'legs', 'ached.']","['As', 'Ollie', 'carried', 'Tommy', 'up', 'the', 'long', 'winding', 'steps,', 'his', 'legs', 'dangled.']",his,his,9,9,Ollie,Tommy,1,3,Tommy,Ollie,3,1,ached,11,dangled,11
24,"Paul tried to call George on the phone, but he wasn't available.","Paul tried to call George on the phone, but he wasn't successful.","['Paul', 'tried', 'to', 'call', 'George', 'on', 'the', 'phone,', 'but', 'he', ""wasn't"", 'available.']","['Paul', 'tried', 'to', 'call', 'George', 'on', 'the', 'phone,', 'but', 'he', ""wasn't"", 'successful.']",he,he,9,9,George,Paul,4,0,Paul,George,0,4,available,11,successful,11
25,The table won't fit through the doorway because it is too wide.,The table won't fit through the doorway because it is too narrow.,"['The', 'table', ""won't"", 'fit', 'through', 'the', 'doorway', 'because', 'it', 'is', 'too', 'wide.']","['The', 'table', ""won't"", 'fit', 'through', 'the', 'doorway', 'because', 'it', 'is', 'too', 'narrow.']",it,it,8,8,The table,The doorway,0,5,The doorway,The table,5,0,wide,11,narrow,11
26,Bill passed the gameboy to John because his turn was next.,Bill passed the gameboy to John because his turn was over.,"['Bill', 'passed', 'the', 'gameboy', 'to', 'John', 'because', 'his', 'turn', 'was', 'next.']","['Bill', 'passed', 'the', 'gameboy', 'to', 'John', 'because', 'his', 'turn', 'was', 'over.']",his,his,7,7,John,Bill,5,0,Bill,John,0,5,next,10,over,10
27,Tom gave Ralph a lift to school so he wouldn't have to drive alone.,Tom gave Ralph a lift to school so he wouldn't have to walk.,"['Tom', 'gave', 'Ralph', 'a', 'lift', 'to', 'school', 'so', 'he', ""wouldn't"", 'have', 'to', 'drive', 'alone.']","['Tom', 'gave', 'Ralph', 'a', 'lift', 'to', 'school', 'so', 'he', ""wouldn't"", 'have', 'to', 'walk.']",he,he,8,8,Tom,Ralph,0,2,Ralph,Tom,2,0,drive alone,12,walk,12
28,"Ann asked Mary what time the library closes, because she had forgotten.","Ann asked Mary what time the library closes, but she had forgotten.","['Ann', 'asked', 'Mary', 'what', 'time', 'the', 'library', 'closes,', 'because', 'she', 'had', 'forgotten.']","['Ann', 'asked', 'Mary', 'what', 'time', 'the', 'library', 'closes,', 'but', 'she', 'had', 'forgotten.']",she,she,9,9,Ann,Mary,0,2,Mary,Ann,2,0,because,8,but,8
