pair_id,sent_1,sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,option_1,option_2,option_1_word_id_1,option_2_word_id_1,option_1_word_id_2,option_2_word_id_2,context_1,context_2,context_word_id,verb_1,verb_2,verb_word_id_1,verb_word_id_2
2-3Z33IC0JC20J0PR16LU4O9N59PP9VA,James slid down from the top of the roof to the fence because the _ is taller.,James slid down from the top of the roof to the fence because the _ is higher.,_,_,14,14,roof,fence,8,11,8,11,taller,higher,16,is,is,15,15
2-3HUR21WDDW3Q5F44ECN2BBDGX39XY2,Angela prefers to wear skirts while Amy prefers long pants. _ wears pantyhose.,Angela prefers to wear skirts while Amy prefers long pants. _ wears stockings and high heels.,_,_,10,10,Angela,Amy,0,6,0,6,pantyhose,stockings and high heels,12,wears,wears,11,11
2-3XU9MCX6VQQG7YPLCSAFDPQNHJ9R2N,"Mary has bad dandruff, but Cynthia has never had that issue. _ lives in a dryer climate.","Mary has bad dandruff, but Cynthia has never had that issue. _ lives in a hot desert climate.",_,_,11,11,Mary,Cynthia,0,5,0,5,dryer,hot desert,15,lives,lives,12,12
2-3LCXHSGDLVKK3T1EK15L50492I3ESD,The pan placed over the flame does not get hot fast enough because the _ is high.,The pan placed over the flame does not get hot fast enough because the _ is huge.,_,_,14,14,pan,flame,1,5,1,5,high,huge,16,is,is,15,15
2-368IUKXGA7MJDMS7M2ITY77LY086P4,It appears more jars can easily fit into the bags if attempted. He never knew the _ are that small.,It appears more jars can easily fit into the bags if attempted. He never knew the _ are that tiny.,_,_,16,16,jars,bags,3,9,3,9,small,tiny,19,are,are,17,17
2-3BKZLF9901D6WI3SSYSAH3HN0SJYQN,James could not hear the sound of his television over his neighbor because his _ was too quiet.,James could not hear the sound of his television over his neighbor because his _ was too muffled.,_,_,14,14,television,neighbor,8,11,8,11,quiet,muffled,17,was,was,15,15
2-31KPKEKW4CRMVH5I18KBUMS54RV0BW,John wanted to exchange the tea with the popsicle because it was a hot day already and the _ was hot.,John wanted to exchange the tea with the popsicle because it was a hot day already and the _ was warm.,_,_,18,18,tea,popsicle,5,8,5,8,hot,warm,20,was,was,19,19
2-3RHLQY6EDT2HFDMWE7MJ9HI9TDGD4N,"Katrina orders water at the bar, while Emily has a nice, cold beer, so _ is sober.","Katrina orders water at the bar, while Emily has a nice, cold beer, so _ is straight.",_,_,14,14,Katrina,Emily,0,7,0,7,sober,straight,16,is,is,15,15
2-33EEIIWHK9LPSO8NNN5QA4DTIBHVQB,The pressure of the water increased when it flowed from the tank to the pipe because the _ is wider.,The pressure of the water increased when it flowed from the tank to the pipe because the _ is broader.,_,_,17,17,tank,pipe,11,14,11,14,wider,broader,19,is,is,18,18
2-3PEG1BH7AG5O87CM51UTD67DGXSKBP,It is better to play a prank on Samuel than Craig because _ gets angry less often.,It is better to play a prank on Samuel than Craig because _ gets angry more rarely.,_,_,12,12,Samuel,Craig,8,10,8,10,less often,more rarely,15,gets,gets,13,13
2-32L724R85LIKCHO145FI3C9HHW7PIK,Tim decided to shave his beard instead of his head since his wife thought that his _ was uglier.,Tim decided to shave his beard instead of his head since his wife thought that his _ was unpleasing.,_,_,16,16,beard,head,5,9,5,9,uglier,unpleasing,18,was,was,17,17
2-35XW21VSVISY9ZB61NSPIVUTBGOLST,John almost emptied his gas tank while driving around the border of the new town. The _ is small.,John almost emptied his gas tank while driving around the border of the new town. The _ is tiny.,_,_,16,16,tank,border,5,10,5,10,small,tiny,18,is,is,17,17
2-375VSR8FVW7RJKTQH17T82CMERXRZB,The helmet will not fit on the teenager's head because the _ is extremely tapered.,The helmet will not fit on the teenager's head because the _ is extremely worn.,_,_,11,11,helmet,head,1,8,1,8,tapered,worn,14,is,is,12,12
2-33CLA8O0MI9LE32QGPDM5AW42L1RFJ,"Robert threw the dish on the floor and Jeffrey cleaned it up, because _ is the master.","Robert threw the dish on the floor and Jeffrey cleaned it up, because _ is the boss.",_,_,13,13,Robert,Jeffrey,0,8,0,8,master,boss,16,is,is,14,14
2-33CLA8O0MKP08S1X0NPMX8KDRJWRFK,James dropped the crayon on the table and it got broken. The _ is brittle.,James dropped the crayon on the table and it got broken. The _ is fragile.,_,_,12,12,crayon,table,3,6,3,6,brittle,fragile,14,is,is,13,13
2-3HJ1EVZS2QX5SGL4GSOKWZVGOV7R3V,James managed to put the file into the crack because the _ was flat enough.,James managed to put the file into the crack because the _ was slim enough.,_,_,11,11,file,crack,5,8,5,8,flat,slim,13,was,was,12,12
2-359AP8GAGGI4T8Y1G9PFSNK14URC72,Ellen opted to eat the tortillas rather than the nachos because she is on a low-carb diet. The _ have less carbs.,Ellen opted to eat the tortillas rather than the nachos because she is on a low-carb diet. The _ have minimal carbs.,_,_,18,18,tortillas,nachos,5,9,5,9,less,minimal,20,have,have,19,19
2-37SDSEDIN90O6JTMAHS1PRX56ZT81D,Rachel drinks a lot of milk but Kayla does not and as a result _ has very strong bones.,Rachel drinks a lot of milk but Kayla does not and as a result _ has very tough bones.,_,_,14,14,Rachel,Kayla,0,7,0,7,strong,tough,17,has,has,15,15
2-3UL5XDRDNEX2OQTCV26DKFYUBHU857,Jane's finger could not fit into the ring her boyfriend bought for her because the _ is wide.,Jane's finger could not fit into the ring her boyfriend bought for her because the _ is big.,_,_,15,15,finger,ring,1,7,1,7,wide,big,17,is,is,16,16
2-3PUV2Q8SV4210C75TMW6HVOF37MBDK,"Rachel enjoys sleeping on the ground, while Tanya really can't stand it, because _ happens to prefer hard surfaces.","Rachel enjoys sleeping on the ground, while Tanya really can't stand it, because _ happens to prefer firm surfaces.",_,_,13,13,Rachel,Tanya,0,7,0,7,hard,firm,17,happens,happens,14,14
2-3Y3CZJSZ9KRTC691AD0DJY5R8815RL,"Ian likes dark chocolate more than Brett, who prefers milk chocolate, so _ is likely to be more mature.","Ian likes dark chocolate more than Brett, who prefers milk chocolate, so _ is likely to be slightly older.",_,_,12,12,Ian,Brett,0,6,0,6,more mature,slightly older,17,is,is,13,13
2-3D4BBDG7ZJA1MEWLYVYP74WTNCO3CI,The basketball did no go through the net when it was dunked because the _ is big.,The basketball did no go through the net when it was dunked because the _ is huge.,_,_,14,14,basketball,net,1,7,1,7,big,huge,16,is,is,15,15
2-3IVEC1GSLPXDQ0P51LPSEH6JRUC1JO,Megan is a criminal defense lawyer and Maria is a family lawyer. _ is less knowledgeable about custody laws.,Megan is a criminal defense lawyer and Maria is a family lawyer. _ is not knowledgeable about custody laws.,_,_,12,12,Megan,Maria,0,7,0,7,less,not,14,is,is,13,13
2-3TD33TP5DNGIWU30TAH4JS4ICFQBAK,James could not get his new bracelet onto his wrist because the _ is too small.,James could not get his new bracelet onto his wrist because the _ is too tight.,_,_,12,12,bracelet,wrist,6,9,6,9,small,tight,15,is,is,13,13
2-3SX4X51T82N2FOS9XFMQPC4GI0ZOAW,The card got scratched when it was continuously dragged over the table because the _ is smooth.,The card got scratched when it was continuously dragged over the table because the _ is delicate.,_,_,14,14,card,table,1,11,1,11,smooth,delicate,16,is,is,15,15
2-3UYRNV2KIVD6EFZIZ22ZEWYH35P8N1,The mouse got stuck in a hole while running with a wood branch in its mouth. The _ is small.,The mouse got stuck in a hole while running with a wood branch in its mouth. The _ is tiny.,_,_,17,17,hole,wood branch,6,11,6,11,small,tiny,19,is,is,18,18
2-3FULMHZ7OWBZDWRGBYXMK5TCX4RM43,The flag was not blowing in the wind when it was raised on the pole. The _ was heavy.,The flag was not blowing in the wind when it was raised on the pole. The _ was massive.,_,_,16,16,flag,wind,1,7,1,7,heavy,massive,18,was,was,17,17
2-3538U0YQ1H88PQGVPXOQFAHXM8K3F3,It took the water so much time to boil while placed on the flame because the _ was much.,It took the water so much time to boil while placed on the flame because the _ was massive.,_,_,16,16,water,flame,3,13,3,13,much,massive,18,was,was,17,17
2-3E24UO25QZOMYXHZN4TEH9EMTJQO6F,Betty ends up with a lot more knots in her hair than Mary because _ has long hair.,Betty ends up with a lot more knots in her hair than Mary because _ has curly hair.,_,_,14,14,Betty,Mary,0,12,0,12,long,curly,16,has,has,15,15
2-3Y7LTZE0YTKJZCL7LV2YDDZ6G77ZUM,"Popsicles come in many flavors, but Kenneth only likes cherry and Ian likes them all because _ is very picky.","Popsicles come in many flavors, but Kenneth only likes cherry and Ian likes them all because _ is really picky.",_,_,16,16,Kenneth,Ian,6,11,6,11,very,really,18,is,is,17,17
2-3WGCNLZJKHMFH3OKBNFH3HZFC7A1DA,The wheel of the cart had gone through the space but the handle was stuck. The _ is smaller.,The wheel of the cart had gone through the space but the handle was stuck. The _ is tiny.,_,_,16,16,wheel,handle,1,12,1,12,smaller,tiny,18,is,is,17,17
2-3MD8CKRQZ11GDUNTJDG7C6C5KD7RJR,James took off his jacket on getting home and took a shower with water because he was sweating. The _ was hot.,James took off his jacket on getting home and took a shower with water because he was sweating. The _ was boiling.,_,_,19,19,jacket,water,4,13,4,13,hot,boiling,21,was,was,20,20
2-3JMNNNO3B3ILFU67BMKL0OY5AWMW2S,James realized the bag cannot contain the bottles so he decided to put twenty jars in it. The _ are big.,James realized the bag cannot contain the bottles so he decided to put twenty jars in it. The _ are large.,_,_,18,18,bottles,jars,7,14,7,14,big,large,20,are,are,19,19
2-3JU8CV4BRNQ92SYBMY4NF7TBHVCPO8,The flag can hardly blow when raised up in the wind because the _ is heavy.,The flag can hardly blow when raised up in the wind because the _ is huge.,_,_,13,13,flag,wind,1,10,1,10,heavy,huge,15,is,is,14,14
2-3ACRLU860PSLM7KC9FJQFBU9XJ9BEE,The cat could not climb up through the wall so it used the pillar because the _ was smooth.,The cat could not climb up through the wall so it used the pillar because the _ was flat.,_,_,16,16,wall,pillar,8,13,8,13,smooth,flat,18,was,was,17,17
2-33Q5P9PUSPKNDI47Z4HYJ7D0940CZJ,"Derrick thought the letter Logan wrote was way too formal, because _ happens to prefer using a casual style.","Derrick thought the letter Logan wrote was way too formal, because _ happens to prefer using a relaxed style.",_,_,11,11,Derrick,Logan,0,4,0,4,casual,relaxed,17,happens,happens,12,12
2-3VMHWJRYHXUK5ON99MVEMQ61SYRXFS,Mary's bag protected the cloth when she walked in the mud. The _ is dirty.,Mary's bag protected the cloth when she walked in the mud. The _ is filthy.,_,_,12,12,bag,cloth,1,4,1,4,dirty,filthy,14,is,is,13,13
2-3JVP4ZJHDR6WIPJO7ICSG9WHXE1I0Z,The cat can only jump from the floor to the table and not to the top of the shelf because the _ is short.,The cat can only jump from the floor to the table and not to the top of the shelf because the _ is low.,_,_,21,21,table,shelf,10,18,10,18,short,low,23,is,is,22,22
2-31SIZS5W5BTXZHR6E30G97ORZO8QRN,The cup got full when James was just emptying the bottle he bought from the store. The _ is small.,The cup got full when James was just emptying the bottle he bought from the store. The _ is tiny.,_,_,17,17,cup,bottle,1,10,1,10,small,tiny,19,is,is,18,18
2-3K3G488TR4M8UUT8HWND66JV65WQ5J,James coated the top of the table with a varnish and left the chair the way it was. Now the _ is shiny.,James coated the top of the table with a varnish and left the chair the way it was. Now the _ is glowing.,_,_,20,20,table,chair,6,13,6,13,shiny,glowing,22,is,is,21,21
2-307FVKVSYTTGSTKT7SVX1NWM1JA47V,James realized he could eat more of the apple unlike the banana because the _ is small.,James realized he could eat more of the apple unlike the banana because the _ is tiny.,_,_,14,14,apple,banana,8,11,8,11,small,tiny,16,is,is,15,15
2-3PZDSVZ3J7V5VECGNZCMXKIC1WYN44,The fountain pen cannot write smoothly on the paper because the _ is too sharp.,The fountain pen cannot write smoothly on the paper because the _ is too pointed.,_,_,11,11,pen,paper,2,8,2,8,sharp,pointed,14,is,is,12,12
2-3VP28W7DUPY9AJNOA4JZJBMBZKEZFL,The remaining ball of thread could crochet more sweater for the kids because the _ was big.,The remaining ball of thread could crochet more sweater for the kids because the _ was massive.,_,_,14,14,ball,sweater,2,8,2,8,big,massive,16,was,was,15,15
2-3XH7ZM9YX48R7IAKX1PUNCY2PKOR9E,John had to return the chair he bought for his new office as it could not get into it because the _ is big.,John had to return the chair he bought for his new office as it could not get into it because the _ is gigantic.,_,_,21,21,chair,office,5,11,5,11,big,gigantic,23,is,is,22,22
2-3H1C3QRA01HP2NDB3H3LYXCIL0XECP,"At work, Mary takes care of hamsters, but Monica doesn't; _ works in a pet store.","At work, Mary takes care of hamsters, but Monica doesn't; _ works in a veterinary clinic.",_,_,10,10,Mary,Monica,2,8,2,8,pet store,veterinary clinic,14,works,works,11,11
2-386T3MLZLP93TJ7BYW013K24VNU80S,Jane had the ring slide down her finger too easily because the _ is too big.,Jane had the ring slide down her finger too easily because the _ is too large.,_,_,12,12,ring,finger,3,7,3,7,big,large,15,is,is,13,13
2-3R6RZGK0XFAJ7102UZAKVSSNT34VYF,All the routine tasks at work bore Donald but Ryan is fine with them; _ happens to prefer variety in work.,All the routine tasks at work bore Donald but Ryan is fine with them; _ happens to prefer diversity in work.,_,_,14,14,Donald,Ryan,7,9,7,9,variety,diversity,18,happens,happens,15,15
