pair_id,sent_1,sent_2,pron_1,pron_2,pron_word_id_1,pron_word_id_2,option_1,option_2,option_1_word_id_1,option_2_word_id_1,option_1_word_id_2,option_2_word_id_2,context_1,context_2,context_word_id,verb_1,verb_2,verb_word_id_1,verb_word_id_2,pron_1_replacement,pron_2_replacement,pron_1_new,pron_2_new
1-3Z33IC0JC20J0PR16LU4O9N59PP9VA,James slid down from the top of the roof to the fences because the _ is taller.,James slid down from the top of the roof to the fences because the _ are shorter.,_,_,14,14,roof,fences,8,11,8,11,taller,shorter,16,is,are,15,15,it,they,the _,the _
1-3HUR21WDDW3Q5F44ECN2BBDGX39XY2,Angela prefers to wear skirts while her parents prefer long pants. _ wears pantyhose.,Angela prefers to wear skirts while her parents prefer long pants. _ wear dress socks and sandals.,_,_,11,11,Angela,her parents,0,6,0,6,pantyhose,dress socks and sandals,13,wears,wear,12,12,She,They,_,_
1-3XU9MCX6VQQG7YPLCSAFDPQNHJ9R2N,"Mary has bad dandruff, but her old friends have never had that issue. _ lives in a dryer climate.","Mary has bad dandruff, but her old friends have never had that issue. _ live in a wetter climate.",_,_,13,13,Mary,her old friends,0,5,0,5,dryer,wetter,17,lives,live,14,14,She,They,_,_
1-3LCXHSGDLVKK3T1EK15L50492I3ESD,The pans placed over the flame do not get hot fast enough because the _ are high.,The pans placed over the flame do not get hot fast enough because the _ is low.,_,_,14,14,pans,flame,1,5,1,5,high,low,16,are,is,15,15,they,it,the _,the _
1-368IUKXGA7MJDMS7M2ITY77LY086P4,It appears more jars can easily fit into the bag if attempted. He never knew the _ are that small.,It appears more jars can easily fit into the bag if attempted. He never knew the _ is that big.,_,_,16,16,jars,bag,3,9,3,9,small,big,19,are,is,17,17,they,it,the _,the _
1-3BKZLF9901D6WI3SSYSAH3HN0SJYQN,James could not hear the sound of his television over his neighbors because his _ was too quiet.,James could not hear the sound of his television over his neighbors because his _ were too noisy.,_,_,14,14,television,neighbors,8,11,8,11,quiet,noisy,17,was,were,15,15,it,they,his _,his _
1-31KPKEKW4CRMVH5I18KBUMS54RV0BW,John wanted to exchange the tea with the popsicles because it was a hot day already and the _ was hot.,John wanted to exchange the tea with the popsicles because it was a hot day already and the _ were cold.,_,_,18,18,tea,popsicles,5,8,5,8,hot,cold,20,was,were,19,19,it,they,the _,the _
1-3RHLQY6EDT2HFDMWE7MJ9HI9TDGD4N,"Katrina orders water at the bar, while her colleagues have a nice, cold beer, so _ is sober.","Katrina orders water at the bar, while her colleagues have a nice, cold beer, so _ are drunk.",_,_,15,15,Katrina,her colleagues,0,7,0,7,sober,drunk,17,is,are,16,16,she,they,_,_
1-33EEIIWHK9LPSO8NNN5QA4DTIBHVQB,The pressure of the water increased when it flowed from the tank to the pipes because the _ is wider.,The pressure of the water increased when it flowed from the tank to the pipes because the _ are narrower.,_,_,17,17,tank,pipes,11,14,11,14,wider,narrower,19,is,are,18,18,it,they,the _,the _
1-3PEG1BH7AG5O87CM51UTD67DGXSKBP,It is better to play a prank on Samuel than his friends because _ gets angry less often.,It is better to play a prank on Samuel than his friends because _ get angry more often.,_,_,13,13,Samuel,his friends,8,10,8,10,less,more,16,gets,get,14,14,he,they,_,_
